model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,130,130.3,2.1,-15.26,0.43,0.17,331
dqn,TRAIN,131,131.4,2.2,-16.54,0.47,0.17,328
dqn,TRAIN,132,130.2,2.1,-13.91,0.40,0.17,330
dqn,TRAIN,133,132.6,2.1,-18.09,0.52,0.18,327
dqn,TRAIN,134,134.2,2.2,-16.77,0.48,0.18,329
dqn,TRAIN,135,133.7,2.2,-18.16,0.51,0.18,326
dqn,TRAIN,136,131.8,2.1,-15.89,0.45,0.17,329
dqn,TRAIN,137,129.9,2.1,-13.79,0.38,0.17,328
dqn,TRAIN,138,130.7,2.1,-15.03,0.42,0.17,330
dqn,TRAIN,139,132.0,2.1,-15.12,0.44,0.17,332
dqn,TRAIN,140,132.6,2.0,-14.84,0.43,0.17,334
dqn,TRAIN,141,131.7,2.1,-15.68,0.45,0.17,326
dqn,TRAIN,142,132.1,2.0,-13.45,0.39,0.17,325
dqn,TRAIN,143,135.6,1.9,-17.19,0.49,0.18,329
dqn,TRAIN,144,132.4,2.0,-16.89,0.48,0.17,333
dqn,TRAIN,145,135.0,2.0,-16.54,0.48,0.17,325
dqn,TRAIN,146,131.0,2.0,-15.75,0.45,0.17,330
dqn,TRAIN,147,131.9,2.0,-15.28,0.44,0.17,329
dqn,TRAIN,148,135.2,2.0,-16.53,0.48,0.18,329
dqn,TRAIN,149,132.8,2.0,-17.39,0.48,0.18,327
dqn,TRAIN,150,132.9,2.1,-14.57,0.41,0.17,326
dqn,TRAIN,151,132.7,2.2,-15.23,0.44,0.18,329
dqn,TRAIN,152,134.2,2.2,-16.16,0.45,0.17,322
dqn,TRAIN,153,131.8,2.1,-14.84,0.43,0.17,327
dqn,TRAIN,154,131.8,2.1,-17.69,0.51,0.17,326
dqn,TRAIN,155,133.8,2.2,-15.29,0.43,0.18,331
dqn,TRAIN,156,134.8,2.2,-18.49,0.52,0.18,327
dqn,TRAIN,157,129.6,2.2,-14.73,0.42,0.17,334
dqn,TRAIN,158,130.7,2.2,-13.56,0.38,0.17,330
dqn,TRAIN,159,133.9,2.1,-18.03,0.50,0.18,332
dqn,TRAIN,160,130.0,2.0,-14.92,0.43,0.17,330
dqn,TRAIN,161,132.1,2.0,-14.66,0.42,0.17,329
dqn,TRAIN,162,133.0,2.0,-15.59,0.44,0.17,325
dqn,TRAIN,163,132.4,2.0,-15.36,0.44,0.18,329
dqn,TRAIN,164,133.2,1.9,-17.30,0.49,0.18,328
dqn,TRAIN,165,132.5,2.0,-15.79,0.46,0.18,329
